Date,Demand
01.01.2023,159.33
02.01.2023,151.48
03.01.2023,162.14
04.01.2023,185.37
05.01.2023,220.47
06.01.2023,289.51
07.01.2023,375.3
08.01.2023,318.07
09.01.2023,257.77
10.01.2023,214.07
11.01.2023,323.29
12.01.2023,303.51
13.01.2023,324.68
14.01.2023,413.06
15.01.2023,404.22
16.01.2023,258.61
17.01.2023,246.34
18.01.2023,476.85
19.01.2023,534.19
20.01.2023,483.44
21.01.2023,784.83
22.01.2023,363.91
23.01.2023,232.55
24.01.2023,213.82
25.01.2023,250.45
26.01.2023,175.22
27.01.2023,161.87
28.01.2023,162.64
29.01.2023,158.05
30.01.2023,140.96
31.01.2023,156.03
01.02.2023,181.21
02.02.2023,161.77
03.02.2023,175
04.02.2023,177.54
05.02.2023,218.55
06.02.2023,155.25
07.02.2023,142.69
08.02.2023,147.69
09.02.2023,164.33
10.02.2023,192.76
11.02.2023,197.42
12.02.2023,211.58
13.02.2023,182.09
14.02.2023,168.87
15.02.2023,220.79
16.02.2023,258.82
17.02.2023,180.24
18.02.2023,232.06
19.02.2023,202.96
20.02.2023,159.87
21.02.2023,154.47
22.02.2023,177.19
23.02.2023,188.02
24.02.2023,193.05
25.02.2023,247.65
26.02.2023,227.53
27.02.2023,186.96
28.02.2023,181.1
01.03.2023,195.19
02.03.2023,225.35
03.03.2023,240.63
04.03.2023,224.18
05.03.2023,188.83
06.03.2023,184.86
07.03.2023,219.05
08.03.2023,238.07
09.03.2023,229.44
10.03.2023,234.72
11.03.2023,249.72
12.03.2023,213.19
13.03.2023,202.29
14.03.2023,212.31
15.03.2023,208.87
16.03.2023,206.83
17.03.2023,208.37
18.03.2023,207.36
19.03.2023,201.31
20.03.2023,192.64
21.03.2023,205.17
22.03.2023,206.38
23.03.2023,205
24.03.2023,201.33
25.03.2023,194.72
26.03.2023,184.76
27.03.2023,159.7
28.03.2023,159.05
29.03.2023,188.13
30.03.2023,206.69
31.03.2023,211.51
01.04.2023,215.52
02.04.2023,193.99
03.04.2023,187.46
04.04.2023,219.05
05.04.2023,215.04
06.04.2023,199.21
07.04.2023,191.76
08.04.2023,203.86
09.04.2023,200.13
10.04.2023,191.83
11.04.2023,215.11
12.04.2023,208.4
13.04.2023,226.51
14.04.2023,222.59
15.04.2023,209.2
16.04.2023,192.22
17.04.2023,177.96
18.04.2023,198.68
19.04.2023,191.87
20.04.2023,200.81
21.04.2023,201.41
22.04.2023,199.92
23.04.2023,200.48
24.04.2023,198.63
25.04.2023,230.9
26.04.2023,229.59
27.04.2023,223.8
28.04.2023,233.66
30.04.2023,206.78
01.05.2023,200.27
02.05.2023,223.47
03.05.2023,223.04
04.05.2023,232.9
05.05.2023,199.44
06.05.2023,204.43
07.05.2023,173.75
08.05.2023,151.87
09.05.2023,198.23
10.05.2023,221.89
11.05.2023,226.64
12.05.2023,218.1
13.05.2023,231.76
14.05.2023,188.31
15.05.2023,185.75
16.05.2023,207.79
17.05.2023,229.22
18.05.2023,254.56
19.05.2023,272.32
20.05.2023,234.98
21.05.2023,214.99
22.05.2023,206.81
23.05.2023,226.87
24.05.2023,224.18
25.05.2023,225.72
26.05.2023,233.7
27.05.2023,240.2
28.05.2023,214.01
29.05.2023,193.67
30.05.2023,209.65
31.05.2023,226.14
01.06.2023,238.5
02.06.2023,229.18
03.06.2023,229.05
04.06.2023,211.87
05.06.2023,207.13
06.06.2023,250.04
07.06.2023,255
08.06.2023,245.19
09.06.2023,249.08
10.06.2023,245.3
11.06.2023,238.45
12.06.2023,234.84
13.06.2023,258.89
14.06.2023,257.88
15.06.2023,268.12
16.06.2023,267.82
17.06.2023,260.2
18.06.2023,233.3
19.06.2023,222.23
20.06.2023,259.02
21.06.2023,260.71
22.06.2023,263.77
23.06.2023,261.29
24.06.2023,251.51
25.06.2023,240.47
26.06.2023,223.68
27.06.2023,267.5
28.06.2023,278.27
29.06.2023,270.38
30.06.2023,253.67
01.07.2023,236.22
02.07.2023,200.32
03.07.2023,196.34
04.07.2023,240.7
05.07.2023,230.75
06.07.2023,205.78
07.07.2023,234.54
08.07.2023,240.28
09.07.2023,221.68
10.07.2023,222.33
11.07.2023,233.8
12.07.2023,240.23
13.07.2023,245.21
14.07.2023,237.33
15.07.2023,231.29
16.07.2023,228.53
17.07.2023,221.12
18.07.2023,247.64
19.07.2023,260.32
20.07.2023,252.71
21.07.2023,257.99
22.07.2023,253.87
23.07.2023,244.97
24.07.2023,240.55
25.07.2023,261.24
26.07.2023,256.34
27.07.2023,255.69
28.07.2023,248.5
29.07.2023,246.41
30.07.2023,234.13
31.07.2023,225.95
01.08.2023,241.49
02.08.2023,249.08
03.08.2023,240.36
04.08.2023,231.71
05.08.2023,241.54
06.08.2023,214.31
07.08.2023,196.1
08.08.2023,209.87
09.08.2023,218.6
10.08.2023,234.28
11.08.2023,241.91
12.08.2023,230.28
13.08.2023,189.65
14.08.2023,202.12
15.08.2023,234.58
16.08.2023,235.48
17.08.2023,246.09
18.08.2023,244.08
19.08.2023,254.29
20.08.2023,232.76
21.08.2023,219.87
22.08.2023,265.25
23.08.2023,255.89
24.08.2023,258.34
25.08.2023,248.79
